,RMS,iteration
213,0.15279621082746003,213
214,0.14865000613612137,214
215,0.14756967945432917,215
216,0.14638994766985777,216
217,0.14348417983548933,217
218,0.15363112597506096,218
219,0.14077689763795564,219
220,0.15558563588191887,220
221,0.14254139721358441,221
222,0.1404846065975313,222
223,0.14707554552435223,223
224,0.14673871888213252,224
225,0.140923308099956,225
226,0.14830510571020092,226
227,0.13080264622721233,227
228,0.14038897675397935,228
229,0.14527155565478375,229
230,0.13745702208765934,230
231,0.13530866772278916,231
232,0.15612633284149788,232
233,0.14243150319497974,233
234,0.14505604324387955,234
235,0.15431838086935828,235
236,0.15036264249315195,236
237,0.14106673033094036,237
238,0.14535251484072712,238
239,0.14229359985231002,239
240,0.14260452814728006,240
241,0.14494335701501126,241
242,0.1399863044759229,242
243,0.14806312747561698,243
