,RMS,iteration
0,9.779724834582995e-17,0
1,9.779724834582995e-17,1
2,0.02047332769827026,2
3,0.013050269640354857,3
4,0.02047332769827026,4
5,9.779724834582995e-17,5
6,0.009454789244006025,6
7,9.779724834582995e-17,7
8,9.779724834582995e-17,8
9,9.779724834582995e-17,9
10,9.779724834582995e-17,10
11,9.779724834582995e-17,11
12,9.779724834582995e-17,12
13,9.779724834582995e-17,13
14,9.779724834582995e-17,14
15,9.779724834582995e-17,15
16,9.779724834582995e-17,16
17,9.779724834582995e-17,17
18,9.779724834582995e-17,18
19,9.779724834582995e-17,19
20,9.779724834582995e-17,20
21,9.779724834582995e-17,21
22,9.779724834582995e-17,22
23,9.779724834582995e-17,23
24,9.779724834582995e-17,24
25,9.779724834582995e-17,25
26,9.779724834582995e-17,26
27,9.779724834582995e-17,27
28,9.779724834582995e-17,28
29,9.779724834582995e-17,29
30,9.779724834582995e-17,30
31,9.779724834582995e-17,31
32,9.779724834582995e-17,32
33,9.779724834582995e-17,33
34,9.779724834582995e-17,34
35,9.779724834582995e-17,35
36,9.779724834582995e-17,36
37,9.779724834582995e-17,37
38,9.779724834582995e-17,38
39,0.009454789244006025,39
40,9.779724834582995e-17,40
41,9.779724834582995e-17,41
42,9.779724834582995e-17,42
43,9.779724834582995e-17,43
44,9.779724834582995e-17,44
45,9.779724834582995e-17,45
46,9.779724834582995e-17,46
47,9.779724834582995e-17,47
48,9.779724834582995e-17,48
49,9.779724834582995e-17,49
50,9.779724834582995e-17,50
51,9.779724834582995e-17,51
52,9.779724834582995e-17,52
53,9.779724834582995e-17,53
54,9.779724834582995e-17,54
55,9.779724834582995e-17,55
56,9.779724834582995e-17,56
57,9.779724834582995e-17,57
58,9.779724834582995e-17,58
59,9.779724834582995e-17,59
60,9.779724834582995e-17,60
61,9.779724834582995e-17,61
62,9.779724834582995e-17,62
63,9.779724834582995e-17,63
64,9.779724834582995e-17,64
65,9.779724834582995e-17,65
66,9.779724834582995e-17,66
67,9.779724834582995e-17,67
68,9.779724834582995e-17,68
69,9.779724834582995e-17,69
70,9.779724834582995e-17,70
71,9.779724834582995e-17,71
72,9.779724834582995e-17,72
73,9.779724834582995e-17,73
74,9.779724834582995e-17,74
75,9.779724834582995e-17,75
76,9.779724834582995e-17,76
77,9.779724834582995e-17,77
78,9.779724834582995e-17,78
79,9.779724834582995e-17,79
80,9.779724834582995e-17,80
81,9.779724834582995e-17,81
82,9.779724834582995e-17,82
83,9.779724834582995e-17,83
84,9.779724834582995e-17,84
85,9.779724834582995e-17,85
86,9.779724834582995e-17,86
87,9.779724834582995e-17,87
88,9.779724834582995e-17,88
89,9.779724834582995e-17,89
90,9.779724834582995e-17,90
91,9.779724834582995e-17,91
92,9.779724834582995e-17,92
93,9.779724834582995e-17,93
94,9.779724834582995e-17,94
95,9.779724834582995e-17,95
96,9.779724834582995e-17,96
97,9.779724834582995e-17,97
98,9.779724834582995e-17,98
99,9.779724834582995e-17,99
100,0.009454789244006025,100
101,9.779724834582995e-17,101
102,9.779724834582995e-17,102
103,9.779724834582995e-17,103
104,0.027472849401335965,104
105,0.03172835245363849,105
106,0.009714343468948549,106
107,0.012569327716372555,107
108,0.027472849401335965,108
109,0.027472849401335965,109
110,0.015175414462588912,110
111,0.02705671899275729,111
112,0.01901286754844583,112
113,0.014370476432879664,113
114,0.02849458619372044,114
115,0.03204514762681574,115
116,0.03990307272138487,116
117,0.04255413039289576,117
118,0.039910646282472914,118
119,0.3530973082871347,119
120,0.054510132739751097,120
121,0.3741995010154701,121
122,0.03821044448970791,122
123,0.36552189181718125,123
124,0.3858419195627161,124
125,0.046577394682841326,125
126,0.045454445019131026,126
127,0.3681906247312878,127
128,0.38527406916887674,128
129,0.3759532675023581,129
130,0.40374222925386527,130
131,0.05317103686657003,131
132,0.05764225447060893,132
133,0.05528129766022313,133
134,0.05413952611030107,134
135,0.06433903183628424,135
136,0.056493918532657866,136
137,0.05792607450723335,137
138,0.060363297145005726,138
139,0.40563869982990947,139
140,0.06945655006303274,140
141,0.4117317904739955,141
142,0.06517744679757537,142
143,0.07235252634421067,143
144,0.07086468536159587,144
145,0.07354951304356104,145
146,0.07666222988960382,146
147,0.07567586909924175,147
148,0.07396357315619517,148
149,0.0745807940497903,149
150,0.08081110441657578,150
151,0.4255699898826039,151
152,0.0784375378249167,152
153,0.41802297357703183,153
154,0.4257838956830871,154
155,0.07227409171358452,155
156,0.0764836208416813,156
157,0.07626047091361317,157
158,0.0764178752937776,158
159,0.4438450931807407,159
160,0.06569878965403446,160
161,0.06391956467585316,161
162,0.056203623331428955,162
163,0.05119760066859559,163
164,0.044697251987604936,164
165,0.048126240153670355,165
166,0.04177714468202368,166
167,0.042707665255482315,167
168,0.04221194389889682,168
169,0.04138641531533964,169
170,0.42347619732452246,170
171,0.0381671498362612,171
172,0.0434282862262846,172
173,0.04490368944736836,173
174,0.03981322476402132,174
175,0.043864501286158944,175
176,0.0477680416025958,176
177,0.048278454437203175,177
178,0.045984690310675445,178
179,0.046595668310777834,179
180,0.05887926652886147,180
181,0.05346911979348065,181
182,0.04884517949793417,182
183,0.05016766379460331,183
184,0.05178866983687801,184
185,0.04987149022553203,185
186,0.05172422141233779,186
187,0.04854390220601114,187
188,0.049400473612336994,188
189,0.048945834372115936,189
190,0.05271015165426006,190
191,0.04987618601278757,191
192,0.04959649618011968,192
193,0.05625810781978687,193
194,0.05596317419536756,194
195,0.05174600212032995,195
196,0.05773748343102787,196
197,0.055675288395389655,197
198,0.05149010356630001,198
199,0.05794571705899018,199
200,0.05206126977208462,200
201,0.05486337010625733,201
202,0.4067187873558691,202
203,0.05881580833127847,203
204,0.054288014261142784,204
205,0.05701853844399051,205
206,0.41939583931855,206
207,0.04646048041480381,207
208,0.05026612767664035,208
209,0.04840930044754096,209
210,0.051648892171467384,210
211,0.05568450133061201,211
212,0.04827345430781813,212
213,0.413123031984405,213
214,0.05617010630733983,214
215,0.05638054159410795,215
216,0.04604696938763744,216
217,0.049080184071065465,217
218,0.06302462384265252,218
219,0.05758257437008926,219
220,0.04817490574775794,220
221,0.051059463459209545,221
222,0.046202158817042926,222
223,0.04815599739007257,223
224,0.04815599739007257,224
225,0.04856283848618633,225
226,0.048504238017770894,226
227,0.04856633350105588,227
228,0.05030590475763213,228
229,0.05146858527867116,229
230,0.05912247513663057,230
231,0.4233855288439371,231
232,0.04942947810193609,232
233,0.04842126271499708,233
234,0.045539180135008586,234
235,0.04573568269258922,235
236,0.04953402047755425,236
237,0.04689243423924588,237
238,0.045856427318834166,238
239,0.4132373530484182,239
240,0.421467912756608,240
241,0.04532613103096917,241
242,0.04206080297303684,242
243,0.04852378262343149,243
244,0.04602737884572131,244
245,0.04997605889884252,245
246,0.049688742341791874,246
247,0.044744056552209574,247
248,0.04502670207381877,248
249,0.04642782035512,249
250,0.04717267867308123,250
251,0.045077360785945625,251
252,0.433336801621037,252
253,0.057571513965236604,253
254,0.41935944802953656,254
255,0.05021167749009188,255
256,0.04463742111952902,256
257,0.046645415429336874,257
258,0.04872921077653939,258
259,0.04905970258738353,259
260,0.048560531722268645,260
261,0.04481780069453932,261
262,0.04506655505488805,262
263,0.04957121887136788,263
264,0.047674199003250366,264
265,0.04365175868029903,265
266,0.04984764437312153,266
267,0.42178024870476705,267
268,0.048808552678436486,268
269,0.043975922932853614,269
270,0.04800048412037113,270
271,0.04692433223224268,271
272,0.043694210521980234,272
273,0.04796565906796633,273
274,0.43589753711447937,274
275,0.042787507225533504,275
276,0.04582275417305307,276
277,0.044132265221261735,277
278,0.4416490456142279,278
279,0.058401902963350176,279
280,0.04501981374826875,280
281,0.052566847248516194,281
282,0.05100606155175899,282
283,0.04812709049191962,283
284,0.04436286164686281,284
285,0.05128751801333623,285
286,0.051699746982526336,286
287,0.04371187187641422,287
288,0.044352867515311346,288
289,0.04424539219229062,289
290,0.051456159387561894,290
291,0.04188643281859218,291
292,0.04436286164686281,292
293,0.056883025034669916,293
294,0.04217657981121432,294
295,0.04432078061886488,295
296,0.04121951554464289,296
297,0.043108681360951986,297
298,0.059586631902680744,298
299,0.050189096844585786,299
300,0.043209891434025524,300
301,0.05323803584752861,301
302,0.04705079160657194,302
303,0.04720263063488384,303
304,0.04897896013241241,304
305,0.04621051023971956,305
306,0.04865464314966945,306
307,0.04218367009095154,307
308,0.04060310742980417,308
309,0.42767502535170554,309
