,RMS,iteration
0,0.45213404277580665,0
1,2.3751308173092914e-17,1
2,0.45213404277580665,2
3,0.4442996365024788,3
4,0.45213404277580665,4
5,0.4436568414574888,5
6,0.45300872930032865,6
7,0.445592325140477,7
8,0.4619804190408627,8
9,0.027215797709892974,9
10,0.4565213477816783,10
11,0.44767874235210503,11
12,0.4418889420310208,12
13,0.45271468975668583,13
14,0.45051687471407686,14
15,0.4354152601021595,15
16,0.43676973719653817,16
17,0.437497902172405,17
18,0.41768625473331067,18
19,0.4290322457288988,19
20,0.4103655429546245,20
21,0.43283061059467465,21
22,0.4338894030921978,22
23,0.4150547028189628,23
24,0.41721278291752106,24
25,0.3958110888844058,25
26,0.08346756400538308,26
27,0.08439035207722995,27
28,0.4226412173306902,28
29,0.4041622030683195,29
30,0.3798288562890643,30
31,0.393274907050143,31
32,0.38326198801638733,32
33,0.37811053977360826,33
34,0.38711553733477233,34
35,0.1409730325829902,35
36,0.39394806177297825,36
37,0.36904824876881537,37
38,0.3605902800803477,38
39,0.30928659486879817,39
40,0.3888216474607689,40
41,0.1793733836554538,41
42,0.23041803035698158,42
43,0.30974989703193817,43
44,0.25092625255845835,44
45,0.2768298718819125,45
46,0.23390969302001763,46
47,0.3103637098899218,47
48,0.2494052132581632,48
49,0.28737446966960656,49
50,0.27769301843355215,50
51,0.29337061729539443,51
52,0.2374581169677094,52
53,0.2918621984715687,53
54,0.2781647807505701,54
55,0.27476176256586415,55
56,0.3004133066363018,56
57,0.27619465947816285,57
58,0.28797842536707624,58
59,0.2736694953224582,59
60,0.27439784032134057,60
61,0.2800067185705543,61
62,0.2786202141748733,62
63,0.2929142350327282,63
64,0.2824718500427791,64
65,0.2616605389427455,65
66,0.2896692457103507,66
67,0.29519460073868686,67
68,0.2653467917419767,68
69,0.2738426495537387,69
70,0.2743075503962034,70
71,0.28346993717641106,71
72,0.26155538021305685,72
73,0.2918119917616724,73
74,0.2862247087858048,74
75,0.2860986784029991,75
76,0.28285329830247313,76
77,0.27739484759878535,77
78,0.27739484759878535,78
79,0.27739484759878535,79
80,0.27739484759878535,80
81,0.27739484759878535,81
82,0.27739484759878535,82
83,0.27739484759878535,83
84,0.27739484759878535,84
85,0.27739484759878535,85
86,0.27739484759878535,86
87,0.27739484759878535,87
88,0.27739484759878535,88
89,0.27739484759878535,89
90,0.27739484759878535,90
91,0.27739484759878535,91
92,0.27739484759878535,92
93,0.27739484759878535,93
94,0.27739484759878535,94
95,0.27739484759878535,95
96,0.27739484759878535,96
97,0.27739484759878535,97
98,0.27739484759878535,98
99,0.27739484759878535,99
100,0.27739484759878535,100
101,0.27739484759878535,101
102,0.27739484759878535,102
103,0.27739484759878535,103
104,0.27739484759878535,104
105,0.27739484759878535,105
106,0.27739484759878535,106
107,0.27739484759878535,107
108,0.27739484759878535,108
109,0.27739484759878535,109
110,0.27739484759878535,110
111,0.27739484759878535,111
112,0.27739484759878535,112
113,0.27739484759878535,113
114,0.27739484759878535,114
115,0.27739484759878535,115
116,0.27739484759878535,116
117,0.27739484759878535,117
118,0.27739484759878535,118
119,0.27739484759878535,119
120,0.27739484759878535,120
121,0.27739484759878535,121
122,0.27739484759878535,122
123,0.27739484759878535,123
124,0.27739484759878535,124
125,0.27739484759878535,125
126,0.27739484759878535,126
127,0.27739484759878535,127
128,0.27739484759878535,128
129,0.27739484759878535,129
130,0.27739484759878535,130
131,0.27739484759878535,131
132,0.27739484759878535,132
133,0.27739484759878535,133
134,0.27739484759878535,134
135,0.27739484759878535,135
136,0.27739484759878535,136
137,0.27739484759878535,137
138,0.27739484759878535,138
139,0.27739484759878535,139
140,0.27739484759878535,140
141,0.27739484759878535,141
142,0.2743649676750846,142
143,0.28091810047882415,143
144,0.26625017680255253,144
145,0.26625017680255253,145
146,0.2704784983340563,146
147,0.2688927390599864,147
148,0.26869351476409326,148
149,0.2831196074848715,149
150,0.2662064121385413,150
151,0.24213112986065016,151
152,0.2650678209895599,152
153,0.25465669264719837,153
154,0.26314056434340294,154
155,0.29513395198430076,155
156,0.27155417749759553,156
157,0.2981117408225777,157
158,0.29384157185758886,158
159,0.2809902341541546,159
160,0.29399887164329475,160
161,0.2985337124756253,161
162,0.29691608770058603,162
163,0.30107197991420254,163
164,0.29882538245100226,164
165,0.3097036639585011,165
166,0.3085114517967341,166
167,0.30517641612143726,167
168,0.3175667471568862,168
169,0.3066769722621015,169
170,0.324699024212186,170
171,0.3054033639407242,171
172,0.3078627823572851,172
173,0.30362325668803003,173
174,0.31460566283793107,174
175,0.32318167798962427,175
176,0.3140649511106491,176
177,0.3249185788261403,177
178,0.30759171820930875,178
179,0.3146569886856702,179
180,0.3203485169697716,180
181,0.31845450547536125,181
182,0.32444381340638345,182
183,0.31090712924293534,183
184,0.311708817799724,184
185,0.3044934040602896,185
186,0.3072270429522501,186
187,0.3193005562415008,187
188,0.3024662076658954,188
189,0.30157848829395256,189
190,0.3035596394051691,190
191,0.30628249272146807,191
192,0.29170914734927567,192
193,0.3065085199015926,193
194,0.30282656292838384,194
195,0.3081031042315084,195
196,0.31148913407047385,196
197,0.31395178785868355,197
198,0.31686293332698245,198
199,0.32371266907532714,199
200,0.33042591170784785,200
201,0.3361240422850747,201
202,0.33678390370841027,202
203,0.3325580906325581,203
204,0.3325580906325581,204
205,0.3325580906325581,205
206,0.3325580906325581,206
207,0.3392971784797692,207
208,0.3456986651941293,208
209,0.33945822528885733,209
210,0.3370369533395996,210
211,0.35055786983663656,211
212,0.35132768028982986,212
213,0.3621781671953502,213
214,0.3579102003469196,214
215,0.35912066716630703,215
216,0.35857100246463913,216
217,0.3685646301969822,217
218,0.35279456527433506,218
219,0.35571169972543953,219
220,0.3529295737705409,220
221,0.3532672504110234,221
